phuong_phap,cau_hoi,dap_an_dung,top1_citation,hang_dung,Hit@1,Hit@3,Hit@5,MRR,thoi_gian,nhom_chu_de,do_kho
TF-IDF,"Luật An toàn, vệ sinh lao động quy định về những nội dung gì?","Điều 1 - | Điều 1,","Điều 91, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0118,Chương I,de
TF-IDF,"Những ai thuộc đối tượng áp dụng của Luật An toàn, vệ sinh lao động?","Điều 2 - | Điều 2,","Điều 56, Khoản 2, Điểm d - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0036,Chương I,trung_binh
TF-IDF,Tai nạn lao động được định nghĩa như thế nào?,"Điều 3, Khoản 8","Điều 38 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",3,0,1,1,0.3333333333333333,0.0029,Chương I,de
TF-IDF,Bệnh nghề nghiệp được hiểu như thế nào?,"Điều 3, Khoản 9","Điều 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0028,Chương I,de
TF-IDF,Yếu tố nguy hiểm và yếu tố có hại được phân biệt như thế nào?,"Điều 3, Khoản 4","Điều 24, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0028,Chương I,trung_binh
TF-IDF,Quan trắc môi trường lao động là gì?,"Điều 3, Khoản 10","Điều 85, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",2,0,1,1,0.5,0.0028,Chương I,trung_binh
TF-IDF,"Nguyên tắc bảo đảm an toàn, vệ sinh lao động được quy định gồm những nguyên tắc nào?","Điều 5 - | Điều 5,","Điều 24, Khoản 2, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0028,Chương I,trung_binh
TF-IDF,"Người lao động có những quyền gì về an toàn, vệ sinh lao động?","Điều 6 - | Điều 6,","Điều 72, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",3,0,1,1,0.3333333333333333,0.0026,Chương I,trung_binh
TF-IDF,"Những hành vi nào bị nghiêm cấm trong lĩnh vực an toàn, vệ sinh lao động?","Điều 12 - | Điều 12,","Điều 90, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0025,Chương I,trung_binh
TF-IDF,"Công đoàn cơ sở có quyền và trách nhiệm gì trong công tác an toàn, vệ sinh lao động?","Điều 10 - | Điều 10,","Điều 7, Khoản 2, Điểm đ - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0058,Chương I,kho
TF-IDF,Người sử dụng lao động phải tổ chức khám sức khỏe cho người lao động bao lâu một lần?,"Điều 21, Khoản 1","Điều 21, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0034,Chương II,de
TF-IDF,"Người lao động làm nghề, công việc nặng nhọc, độc hại, nguy hiểm được khám sức khỏe định kỳ bao lâu một lần?","Điều 21, Khoản 1","Điều 21, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0027,Chương II,de
TF-IDF,Lao động nữ khi khám sức khỏe định kỳ phải được khám những nội dung gì?,"Điều 21, Khoản 2","Điều 21, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương II,trung_binh
TF-IDF,Chi phí khám sức khỏe và khám phát hiện bệnh nghề nghiệp cho người lao động do ai chi trả?,"Điều 21, Khoản 6","Điều 21, Khoản 6 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0026,Chương II,trung_binh
TF-IDF,Người sử dụng lao động phải tổ chức khám sức khỏe cho người lao động trước khi bố trí làm việc trong trường hợp nào?,"Điều 21, Khoản 3","Điều 21, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0027,Chương II,kho
TF-IDF,Người lao động được trang cấp phương tiện bảo vệ cá nhân khi nào?,"Điều 23, Khoản 1","Điều 23, Khoản 3, Điểm c - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0025,Chương II,de
TF-IDF,Người sử dụng lao động có được phát tiền thay cho việc trang cấp phương tiện bảo vệ cá nhân không?,"Điều 23, Khoản 3","Điều 23, Khoản 3, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương II,trung_binh
TF-IDF,Việc bồi dưỡng bằng hiện vật cho người lao động được thực hiện theo nguyên tắc nào?,"Điều 24, Khoản 2","Điều 24, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương II,trung_binh
TF-IDF,Người sử dụng lao động phải tổ chức quan trắc môi trường lao động bao lâu một lần?,"Điều 18, Khoản 2","Điều 18, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0024,Chương II,de
TF-IDF,"Người sử dụng lao động phải kiểm tra, đánh giá yếu tố nguy hiểm tại nơi làm việc bao lâu một lần?","Điều 18, Khoản 3","Điều 18, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",4,0,0,1,0.25,0.0025,Chương II,de
TF-IDF,"Sau khi có kết quả quan trắc môi trường lao động, người sử dụng lao động phải làm gì?","Điều 18, Khoản 4","Điều 18, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0024,Chương II,trung_binh
TF-IDF,"Máy, thiết bị, vật tư, chất có yêu cầu nghiêm ngặt về an toàn, vệ sinh lao động được hiểu như thế nào?","Điều 28, Khoản 1","Điều 17, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0027,Chương II,kho
