id,chuong_id,chuong_ten,dieu_id,dieu_ten,khoan_id,diem_id,cap_do,noi_dung,full_citation,ten_van_ban,ngay_ban_hanh,co_quan_ban_hanh,so_hieu,keyphrase,dang_quy_dinh
1,I,QUY ĐỊNH CHUNG,1,Phạm vi điều chỉnh,,,dieu_intro,"Luật này quy định việc bảo đảm an toàn, vệ sinh lao động; chính sách, chế độ đối với người bị tai nạn lao động, bệnh nghề nghiệp; trách nhiệm và quyền hạn của các tổ chức, cá nhân liên quan đến công tác an toàn, vệ sinh lao động và quản lý nhà nước về an toàn, vệ sinh lao động.","Điều 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|bệnh nghề nghiệp|bảo đảm an toàn,khac
2,I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,1,,khoan,"Người lao động làm việc theo hợp đồng lao động; người thử việc; người học nghề, tập nghề để làm việc cho người sử dụng lao động.","Điều 2, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,hợp đồng lao động|người lao động|người sử dụng lao động|người lao động làm việc theo hợp đồng lao động,khac
3,I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,2,,khoan,"Cán bộ, công chức, viên chức, người thuộc lực lượng vũ trang nhân dân.","Điều 2, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,khac
4,I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,3,,khoan,Người lao động làm việc không theo hợp đồng lao động.,"Điều 2, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,hợp đồng lao động|người lao động|người lao động làm việc không theo hợp đồng lao động,khac
5,I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,4,,khoan,Người lao động Việt Nam đi làm việc tại nước ngoài theo hợp đồng; người lao động nước ngoài làm việc tại Việt Nam.,"Điều 2, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,người lao động,khac
6,I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,5,,khoan,Người sử dụng lao động.,"Điều 2, Khoản 5 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,người sử dụng lao động,khac
7,I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,6,,khoan,"Cơ quan, tổ chức và cá nhân khác có liên quan đến công tác an toàn, vệ sinh lao động.","Điều 2, Khoản 6 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,khac
8,I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,6,,khoan_bo_sung,"Những người quy định tại các khoản 1, 2, 3 và 4 Điều này sau đây gọi chung là người lao động.","Điều 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,người lao động,khac
9,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,,,dieu_intro,"Trong Luật này, các từ ngữ dưới đây được hiểu như sau","Điều 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,dinh_nghia
10,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,1,,khoan,"Cơ sở sản xuất, kinh doanh là doanh nghiệp, hợp tác xã, hộ gia đình và các tổ chức hoạt động sản xuất, kinh doanh.","Điều 3, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,khac
